,generator,base_0,base_1,base_2,base_3,base_4
https://ik.imagekit.io/seeingthewords/data/base/prompt_2/base_1.jpg,base,0.44652195501553293,0.0,0.35718307030005336,0.1810541829589295,0.13576642958240392
https://ik.imagekit.io/seeingthewords/data/base/prompt_2/base_2.jpg,base,0.10007903634433152,0.35718307030005336,0.0,0.21248736768285628,0.23595585643138883
https://ik.imagekit.io/seeingthewords/data/base/prompt_2/base_4.jpg,base,0.32535668713659643,0.13576642958240392,0.23595585643138883,0.07385560955421325,0.0
https://ik.imagekit.io/seeingthewords/data/base/prompt_2/base_0.jpg,base,0.0,0.44652195501553293,0.10007903634433152,0.2744001781393528,0.32535668713659643
https://ik.imagekit.io/seeingthewords/data/base/prompt_2/base_3.png,base,0.2744001781393528,0.1810541829589295,0.21248736768285628,0.0,0.07385560955421325
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_2/SD-COMPVIS-P2-95.jpg,CompVis,0.1743268935627937,0.2723866764158535,0.10807980190761685,0.12136275145682095,0.15195791426140665
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_2/SD-COMPVIS-P2-69.jpg,CompVis,0.27688110806879523,0.1739574097334361,0.2040555495586288,0.03790936318444487,0.06018102326217766
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_2/SD-COMPVIS-P2-54.jpg,CompVis,0.20580821845008135,0.24101625248942854,0.15711928237625955,0.0793105279174566,0.12118799409257769
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_2/SD-COMPVIS-P2-38.jpg,CompVis,0.2399118779513478,0.22802310716703417,0.16711388845203512,0.09370489916813371,0.11382917525796289
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_2/SD-COMPVIS-P2-32.jpg,CompVis,0.1364256105080485,0.3135518585957575,0.050517544931453426,0.18022785607171055,0.19496472070870996
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_2/SD-COMPVIS-P2-73.jpg,CompVis,0.14679821110891103,0.30285609558076143,0.10269996330839991,0.13401703613368268,0.18169082770182488
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_2/SD-COMPVIS-P2-83.jpg,CompVis,0.2416163916990864,0.24509468842591045,0.16544866105797765,0.11911875861696719,0.14306219393887631
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_2/SD-COMPVIS-P2-68.jpg,CompVis,0.13914246719143392,0.3073794878240991,0.10699179534750579,0.14461258916490075,0.18655121156820653
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_2/SD-COMPVIS-P2-45.jpg,CompVis,0.27047146266210675,0.18731223212151407,0.19361447508468624,0.0511560841673195,0.07534860729974505
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_2/SD-COMPVIS-P2-66.jpg,CompVis,0.28789426222705367,0.19453069608808815,0.2102627628150266,0.06492252441911278,0.07875835402294572
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_2/SD-COMPVIS-P2-59.jpg,CompVis,0.12041525778638124,0.32695881268144134,0.08325960627240532,0.1698317232060194,0.20745369527830482
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_2/SD-COMPVIS-P2-50.jpg,CompVis,0.10162953582972287,0.34530700953709365,0.0631646375596106,0.17444360405876636,0.2241417416581571
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_2/SD-COMPVIS-P2-47.jpg,CompVis,0.1836475613504231,0.2631894032814252,0.10519441819659468,0.11465593826372025,0.14170912578617328
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_2/SD-COMPVIS-P2-9.jpg,CompVis,0.13513229797372223,0.3137058357957828,0.07271664038215875,0.16075256063943505,0.19284623543641563
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_2/SD-COMPVIS-P2-57.jpg,CompVis,0.06132113750140664,0.38915238753325226,0.054999338461095074,0.22388965520147086,0.2679871196543157
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_2/SD-COMPVIS-P2-20.jpg,CompVis,0.10877766056550384,0.33820282460038303,0.07002967003503081,0.17272360074819676,0.21709502584355828
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_2/SD-COMPVIS-P2-87.jpg,CompVis,0.28741277092179657,0.1618769313618171,0.2081965327839732,0.06048544506466985,0.06412282976677416
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_2/SD-COMPVIS-P2-82.jpg,CompVis,0.11558406732786178,0.33389656353412867,0.05891312868281481,0.179417772687335,0.21468587444973108
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_2/SD-COMPVIS-P2-4.jpg,CompVis,0.1097144377287817,0.33963820612839224,0.07368694660953398,0.17177878347713232,0.21847293824945563
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_2/SD-COMPVIS-P2-89.jpg,CompVis,0.23556963162379863,0.2279269439128029,0.16274991716278792,0.08901654727992414,0.12494427967621083
