,image_id,generator,predict_score,map_diff_score_base_0,map_diff_score_base_1,map_diff_score_base_2,map_diff_score_base_3,map_diff_score_base_4
1284,https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_1/SD-COMPVIS-P1-82.jpg,CompVis,[[0.05152004 0.94847995]],0.09579773526638746,0.3461180403828621,0.3946748171001673,0.2765245698392391,0.1520387316122651
1285,https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_1/SD-COMPVIS-P1-52.jpg,CompVis,[[0.23081079 0.76918924]],0.08080727979540825,0.21226752363145351,0.25202742870897055,0.1422261195257306,0.07472499459981918
1286,https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_1/SD-COMPVIS-P1-68.jpg,CompVis,[[0.10195351 0.8980465 ]],0.03664842247962952,0.280889431014657,0.3274412131868303,0.209290967322886,0.08999164775013924
1287,https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_1/SD-COMPVIS-P1-74.jpg,CompVis,[[0.32020432 0.6797956 ]],0.1438340935856104,0.13508762791752815,0.16335526574403048,0.05135621037334204,0.1242314837872982
1288,https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_1/SD-COMPVIS-P1-29.jpg,CompVis,[[0.20966892 0.7903311 ]],0.06602808553725481,0.3136713379062712,0.3618481340818107,0.243697889149189,0.11536312941461802
1289,https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_1/SD-COMPVIS-P1-38.jpg,CompVis,[[0.17404383 0.82595617]],0.041884006932377815,0.2221402432769537,0.2705098008736968,0.1523595554754138,0.08609671331942081
1290,https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_1/SD-COMPVIS-P1-99.jpg,CompVis,[[0.28535843 0.71464163]],0.0588316461071372,0.23270463477820158,0.2746664099395275,0.15633822605013847,0.1020226189866662
1291,https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_1/SD-COMPVIS-P1-83.jpg,CompVis,[[0.17568831 0.82431173]],0.04298861138522625,0.2846021563746035,0.32986371871083975,0.21171347331255674,0.08932371623814106
1292,https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_1/SD-COMPVIS-P1-42.jpg,CompVis,[[0.27502373 0.72497624]],0.0445647994056344,0.24547211918979883,0.2817746619693935,0.16100220941007137,0.08321572747081518
1293,https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_1/SD-COMPVIS-P1-10.jpg,CompVis,[[0.49461612 0.5053839 ]],0.04900008160620928,0.2880319571122527,0.3365887328982353,0.21843848749995232,0.1234911447390914
1294,https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_1/SD-COMPVIS-P1-51.jpg,CompVis,[[0.25959754 0.74040246]],0.07139895856380463,0.2627939344383776,0.29713519755750895,0.17734533082693815,0.06878623180091381
1295,https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_1/SD-COMPVIS-P1-70.jpg,CompVis,[[0.21090901 0.789091  ]],0.150443306658417,0.18919420102611184,0.17293685441836715,0.1062670755200088,0.1619042162783444
